basename,yield,solvent1,solvent2,solvent3,solvent4,solvent5,sol_molratio1,sol_molratio2,sol_molratio3,sol_molratio4,sol_molratio5,additive1,additive2,additive3,additive4,additive5,temperature_Celsius,time_h,core_All_Metals,counterions1,counterions2,counterions3,linker_1,linker_2
OFODET,73.0,CN(C)C=O,C(CO)O,O,,,0.532,0.184,0.284,,,Cl,,,,,55,48,Mn,Cl,,,[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)[O-],
XAVKIR,50.6,CN(C)C=O,O,,,,0.539,0.461,,,,Cl,,,,,55,120,Cu,NO3,,,O=C(c1cncc(c1)C(=O)Nc1ccc2c(c1)ccc(c2)C(=O)[NH2]c1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1ccc2c(c1)ccc(c2)C(=O)[NH2]c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
LATPIG,68.0,O,,,,,1.0,,,,,,,,,,160,72,Zn,F,,,[N]1C=NN=C1,
MOYYIJ,80.0,CN(C)C=O,O,CCO,,,0.556,0.339,0.105,,,,,,,,60,48,Cu,NO3,,,[O-]C(=O)c1ccc(cc1)c1cccc(c1)C(=O)[O-],
OFOCUI,61.0,CN(C)C=O,CCO,O,,,0.377,0.3,0.323,,,[N+](=O)(O)[O-],,,,,60,48,Cu,NO3,,,[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],
OPENUT,42.0,CN(C)C=O,O,,,,0.319,0.681,,,,,,,,,60,96,Eu,NO3,,,[O-]C(=O)c1cccc(c1)C(=O)[O-],
INOVEN,45.0,CCO,CN(C)C=O,,,,0.515,0.485,,,,,,,,,60,168,Gd,NO3,,,[O-]C(=O)c1ccc(cc1)[N][N]c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
YEMJAC,76.0,CN(C)C=O,CCO,,,,0.79,0.21,,,,[N+](=O)(O)[O-],CCCCNCCCC,,,,60,168,Dy,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
QUQFIS,59.2,CN(C)C=O,CO,O,,,0.462,0.439,0.099,,,,,,,,65,24,Zn,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
QUQFOY,57.2,CN(C)C=O,CCO,,,,0.601,0.399,,,,,,,,,65,24,Cd,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
EBUREA,20.0,O,,,,,1.0,,,,,[OH-].[Na+],,,,,65,48,Mn,Cl,,,[O-]C(=O)c1ccc(cc1)[N][N]c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
LIKGUJ,75.0,CN(C)C=O,O,,,,0.319,0.681,,,,Cl,,,,,65,48,Cu,NO3,,,O=C1OC(=O)C2=C3C1=[C]C1=C4[C]3C3=C([C]=C4C(=O)OC1=O)C(=O)OC(=O)C3=[C]2,O=C1OC(=O)C2=C3[C]1[C]=C1C(=O)OC(=O)C4=[C]C5=C(C3=C14)C(=[C]2)C(=O)OC5=O
QOZPIG,39.0,CN(C)C=O,,,,,1.0,,,,,[H+].[B-](F)(F)(F)F,,,,,65,48,Cd,Cl,,,[O-]C(=O)c1cc(C(=O)Nn2cnnc2)c(cc1C(=O)Nn1cnnc1)C(=O)[O-],
GERWEH,30.0,O,CN(C)C=O,,,,0.895,0.105,,,,,,,,,70,72,"Cu,Si",NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])[Si](c1cc(cc(c1)C(=O)[O-])C(=O)[O-])(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-],
XUGROI,42.0,CCN(CC)C=O,O,,,,0.379,0.621,,,,Cl,,,,,75,24,Cu,NO3,,,[O-]C(=O)c1cccc(c1)c1cc(c2cccc(c2)C(=O)[O-])c(cc1c1cccc(c1)C(=O)[O-])c1cccc(c1)C(=O)[O-],
ZIKJOU,42.0,CN(C)C=O,CO,,,,0.345,0.655,,,,[H+].[B-](F)(F)(F)F,,,,,75,60,Cu,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-],
ZIKJIO,39.0,CN(C)C=O,,,,,1.0,,,,,[H+].[B-](F)(F)(F)F,,,,,75,36,Cu,NO3,,,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N(Cc1ccc(cc1)C(=O)[O-])Cc1ccc(cc1)C(=O)[O-],
DOZCEC,51.0,CCN(CC)C=O,CO,,,,0.268,0.732,,,,Cl,,,,,75,48,Mn,Cl,,,Cl[Mn]123(Cl)[N]4=C5C=CC4=C(c4n2c(C(=C2[N]1=C(C=C2)C(=c1n3c(=C5c2ccc(cc2)C2=NN=N[N]2)cc1)c1ccc(cc1)C1=NN=N[N]1)c1ccc(cc1)C1=NN=N[N]1)cc4)c1ccc(cc1)C1=NN=N[N]1,
ECIWIW,53.0,CCO,,,,,1.0,,,,,,,,,,130,48,Cd,ClO4,,,[O-]C(=O)c1ccc(cc1)c1ccncc1,
HOZTOG,32.0,CC#N,CN(C)C=O,,,,0.748,0.252,,,,,,,,,75,48,"W,Cu",unknown,unknown,,n1ccn(c1)C1=NC(=[N]=C([N]1)n1ccnc1)n1ccnc1,
REDROI,90.0,CN(C)C=O,,,,,1.0,,,,,OO,,,,,80,24,Zn,NO3,,,[O-]C(=O)c1ccc(cc1)C(=O)[O-],
